,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,guests_included,extra_people,security_deposit,availability_365,cancellation_policy,new_Hairdryer,new_Kitchen,new_Laptopfriendlyworkspace,new_Indoorfireplace,new_Hottub,new_baby_friendly,new_Iron,new_TV,new_family
4285,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,0,0,25,moderate,0,1,1,0,0,0,0,0,0
4286,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,124,2,10,0,8,strict,0,1,0,0,1,0,0,1,1
4287,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,1,0,moderate,0,1,1,0,0,0,0,1,0
4288,Westerpark,4,Apartment,Entire home/apt,1.0,2.0,4.0,165,4,20,0,0,moderate,0,1,0,0,0,0,0,1,1
4289,Watergraafsmeer,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,0,36,strict,1,1,1,0,0,0,1,0,0
4290,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,2.0,1.0,2.0,175,2,17,0,0,moderate,1,1,1,0,1,0,1,1,1
4291,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,120,1,0,0,0,moderate,0,0,0,0,0,0,0,0,0
4292,Centrum-Oost,4,Apartment,Entire home/apt,1.0,2.0,2.0,175,2,0,1,0,moderate,1,1,1,0,0,0,1,1,1
4293,Noord-Oost,5,House,Entire home/apt,1.0,3.0,4.0,100,1,0,1,0,strict,0,1,0,1,1,1,0,0,1
4295,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,145,1,15,0,19,moderate,0,1,0,0,0,0,0,1,0
4296,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,0,0,moderate,0,1,0,0,0,0,0,0,0
4298,Oud-Oost,4,Apartment,Entire home/apt,1.0,2.0,3.0,130,1,0,1,334,strict,0,1,0,0,0,0,0,0,1
4299,Oud-Oost,4,House,Entire home/apt,1.0,1.0,2.0,95,2,33,1,0,moderate,1,1,1,0,0,0,0,0,0
4300,De Pijp - Rivierenbuurt,4,House,Entire home/apt,2.0,4.0,4.0,150,2,30,1,0,moderate,1,1,1,0,0,0,1,1,1
4301,Oud-Oost,4,Apartment,Entire home/apt,2.0,1.0,1.0,149,2,0,1,0,strict,0,1,0,0,0,0,0,1,1
4302,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,0,1,351,moderate,1,1,1,0,0,0,1,1,0
4303,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,50,1,15,0,1,moderate,0,1,0,0,0,0,0,0,0
4304,IJburg - Zeeburgereiland,4,Townhouse,Entire home/apt,2.0,2.0,3.0,140,2,35,1,0,strict,1,1,1,0,1,1,1,1,1
4305,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,1.0,1.0,1.0,80,1,0,0,45,strict,1,1,0,0,0,0,1,0,0
4306,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,2.0,2.0,2.0,165,4,0,1,36,moderate,1,1,1,0,0,0,1,1,0
4307,Noord-West,4,House,Private room,1.0,1.0,3.0,65,2,25,1,74,moderate,1,0,0,0,0,1,1,0,1
4308,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,130,1,0,1,0,moderate,0,1,0,0,0,0,0,1,0
4309,Westerpark,2,Apartment,Entire home/apt,1.0,2.0,1.0,111,2,0,1,0,flexible,0,1,1,0,0,1,1,0,1
4311,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,0,0,0,flexible,0,1,1,1,0,0,0,0,0
4312,De Pijp - Rivierenbuurt,2,House,Private room,2.0,1.0,1.0,50,1,0,0,0,moderate,0,1,1,0,0,0,1,1,1
4313,De Baarsjes - Oud-West,4,Townhouse,Entire home/apt,1.0,2.0,2.0,135,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4314,Westerpark,4,Apartment,Entire home/apt,1.0,2.0,4.0,150,1,0,0,0,strict,1,1,0,0,0,0,0,0,1
4315,Oostelijk Havengebied - Indische Buurt,4,Apartment,Entire home/apt,2.0,2.0,2.0,150,1,0,0,0,flexible,1,1,0,0,0,0,0,1,1
4316,Bijlmer-Oost,4,Apartment,Private room,1.0,1.0,2.0,50,2,15,0,0,flexible,0,1,0,0,0,0,0,1,1
4319,De Baarsjes - Oud-West,3,Loft,Private room,1.0,0.0,3.0,99,2,50,1,76,moderate,1,0,0,0,0,0,0,0,1
4321,De Pijp - Rivierenbuurt,2,Townhouse,Private room,1.0,1.0,1.0,70,1,0,0,0,flexible,0,1,0,0,0,0,0,1,0
4322,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,120,2,0,1,0,strict,1,1,1,0,0,0,1,1,0
4323,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,0.0,2.0,130,2,45,1,6,moderate,1,1,1,0,0,0,1,1,1
4324,Noord-Oost,4,Bed and breakfast,Private room,1.0,1.0,4.0,74,2,15,0,214,flexible,0,1,0,0,0,0,0,0,1
4325,Westerpark,3,Apartment,Entire home/apt,1.0,3.0,3.0,168,2,0,0,15,strict,1,1,1,0,0,1,1,1,1
4327,Centrum-Oost,3,Apartment,Entire home/apt,1.0,2.0,3.0,110,1,0,0,0,strict,0,1,1,0,1,1,1,1,1
4329,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,2,0,0,6,moderate,1,1,1,0,0,0,1,1,1
4330,Oud-Oost,4,Loft,Entire home/apt,2.0,2.0,2.0,195,2,25,1,22,strict,1,1,1,0,0,0,1,1,0
4331,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,1.0,1.0,1.0,74,1,0,1,0,moderate,1,1,1,0,0,0,1,0,0
4332,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,0,0,strict,1,1,0,0,0,0,1,1,0
4333,Bos en Lommer,6,House,Entire home/apt,1.0,4.0,6.0,150,1,0,1,8,moderate,1,1,1,0,1,1,1,1,1
4334,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,0,6,moderate,1,1,1,0,0,0,1,1,0
4335,Zuid,4,Apartment,Entire home/apt,1.0,1.0,2.0,90,2,40,0,74,moderate,1,1,1,0,0,0,1,0,0
4338,De Aker - Nieuw Sloten,5,House,Entire home/apt,2.0,3.0,3.0,140,1,0,0,0,flexible,0,1,0,0,1,0,1,1,1
4339,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,140,1,0,0,0,strict,0,1,1,0,1,0,1,1,0
4340,De Pijp - Rivierenbuurt,3,Apartment,Entire home/apt,1.0,1.0,2.0,85,2,20,0,0,strict,0,1,1,0,1,1,1,1,1
4341,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,2.0,190,1,0,1,0,strict,1,1,1,0,0,0,0,1,1
4342,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,129,1,0,1,164,flexible,0,1,0,0,0,0,0,1,0
4343,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,2,0,0,249,moderate,1,1,1,0,0,1,1,0,1
4344,Oud-Oost,2,Apartment,Private room,2.0,1.0,1.0,59,1,0,0,0,moderate,0,1,0,0,0,0,0,0,0
4345,Oud-Oost,3,Apartment,Entire home/apt,1.0,2.0,2.0,125,3,0,1,158,strict,0,1,0,0,0,0,0,1,1
4346,Oud-Oost,3,Apartment,Entire home/apt,1.0,2.0,1.0,139,3,35,1,361,strict,0,1,0,0,0,0,0,1,1
4347,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,2.0,130,1,0,1,0,strict,1,1,1,0,0,0,1,1,1
4348,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,1,0,moderate,0,1,0,0,0,0,0,0,0
4349,Geuzenveld - Slotermeer,4,Apartment,Entire home/apt,1.0,2.0,2.0,111,1,0,1,0,flexible,0,1,0,0,0,0,0,1,1
4350,De Pijp - Rivierenbuurt,2,Townhouse,Private room,1.0,1.0,1.0,59,1,0,1,71,moderate,1,0,1,0,0,0,1,0,0
4351,Buitenveldert - Zuidas,4,Condominium,Entire home/apt,1.0,1.0,1.0,149,2,20,1,0,moderate,1,1,1,0,0,0,1,1,0
4352,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,180,1,0,0,0,strict,0,1,0,0,0,0,0,0,0
4353,Geuzenveld - Slotermeer,5,Townhouse,Entire home/apt,2.0,3.0,4.0,125,1,10,0,0,strict,1,1,1,0,1,1,0,1,1
4354,De Pijp - Rivierenbuurt,2,Apartment,Private room,2.0,1.0,1.0,100,1,0,0,0,flexible,0,1,0,0,0,0,0,1,0
4355,Oud-Oost,2,Condominium,Entire home/apt,1.0,0.0,1.0,100,1,0,0,21,strict,1,1,1,0,0,0,1,0,0
4356,Westerpark,3,Apartment,Entire home/apt,1.0,2.0,2.0,180,2,30,1,0,moderate,0,1,1,0,0,0,1,1,0
4357,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,1,0,strict,0,1,1,0,0,0,1,1,0
4358,IJburg - Zeeburgereiland,4,Townhouse,Entire home/apt,1.0,3.0,6.0,170,3,15,1,188,strict,0,1,1,1,1,1,1,1,1
4359,Bos en Lommer,3,Apartment,Entire home/apt,1.0,1.0,2.0,129,3,259,0,1,strict,0,1,1,0,0,0,1,0,0
4360,Centrum-West,1,Apartment,Private room,1.0,1.0,1.0,65,1,25,0,24,moderate,0,1,0,0,0,0,0,1,0
4361,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,1,0,0,0,moderate,1,1,1,0,0,0,1,0,0
4362,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,75,1,25,1,0,moderate,0,1,0,0,0,0,0,1,1
4363,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,115,1,0,0,0,flexible,0,1,0,0,0,0,1,1,0
4364,Zuid,2,Apartment,Shared room,1.0,1.0,1.0,65,1,0,0,0,flexible,0,1,0,0,1,0,0,0,0
4365,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,1,0,1,0,moderate,0,1,0,0,0,0,0,1,0
4366,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,105,1,0,1,80,strict,1,1,1,0,0,0,1,1,0
4367,De Baarsjes - Oud-West,2,Townhouse,Entire home/apt,2.0,1.0,2.0,94,1,15,1,304,moderate,0,1,1,0,0,0,1,1,0
4368,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,75,1,0,0,0,strict,0,1,1,0,0,0,1,1,1
4369,Bos en Lommer,4,Apartment,Entire home/apt,1.0,1.0,2.0,120,1,0,0,0,moderate,1,1,1,0,0,0,1,1,1
4370,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,3,0,0,0,strict,0,1,0,0,0,0,0,0,1
4371,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,95,1,0,0,0,moderate,0,1,0,0,0,0,0,1,1
4372,Oostelijk Havengebied - Indische Buurt,2,Apartment,Private room,1.0,1.0,1.0,79,1,10,0,64,moderate,0,0,0,0,0,0,0,0,0
4373,Centrum-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,139,2,30,1,35,flexible,0,1,1,0,1,0,0,1,0
4375,Centrum-West,2,Townhouse,Entire home/apt,1.0,1.0,1.0,125,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4376,Bos en Lommer,4,Apartment,Private room,2.0,1.0,2.0,65,2,20,0,0,moderate,0,1,0,0,0,0,0,0,0
4377,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,90,1,0,0,0,strict,0,1,0,0,0,0,0,1,0
4378,Westerpark,2,Apartment,Private room,1.0,1.0,1.0,85,1,0,1,0,strict,0,1,1,0,0,0,1,0,0
4379,Centrum-West,2,Apartment,Entire home/apt,1.0,0.0,1.0,120,2,0,0,15,moderate,0,0,1,0,0,0,0,1,1
4380,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,0,1,0,moderate,1,1,1,0,1,0,1,1,1
4381,De Baarsjes - Oud-West,2,Condominium,Private room,1.0,1.0,1.0,145,1,0,0,330,moderate,1,1,1,0,0,0,1,1,1
4382,Centrum-Oost,2,Houseboat,Private room,1.0,1.0,1.0,130,2,0,0,250,flexible,1,1,0,0,0,1,1,1,0
4385,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,187,2,60,1,130,strict,1,1,1,0,0,0,1,1,1
4387,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,0,2,strict,0,1,0,0,0,0,1,1,1
4389,Noord-West,2,Apartment,Private room,1.0,1.0,2.0,55,1,10,0,82,flexible,1,1,0,0,0,0,1,1,1
4391,Westerpark,2,Apartment,Private room,1.0,1.0,1.0,70,1,0,0,0,flexible,0,1,0,0,0,0,0,0,0
4392,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,199,2,40,1,15,strict,1,1,1,0,0,0,1,1,1
4395,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,0,0,moderate,0,1,0,0,0,0,0,1,0
4396,Centrum-Oost,2,Apartment,Private room,0.0,1.0,1.0,83,2,16,0,0,flexible,0,1,0,0,0,0,0,0,0
4397,Oud-Oost,2,Apartment,Private room,1.0,1.0,1.0,60,1,0,0,35,strict,1,1,0,0,0,0,0,0,0
4398,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,1.0,1.0,160,1,30,1,78,flexible,0,1,1,0,0,0,1,1,1
4399,Centrum-Oost,2,Boat,Entire home/apt,1.0,1.0,1.0,125,1,0,0,0,moderate,0,1,1,0,0,0,0,1,0
4400,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,1,0,0,0,flexible,1,1,0,0,0,0,1,1,0
4402,Oud-Noord,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,1,308,strict,0,1,0,0,0,0,1,1,0
4403,Oud-Noord,2,Apartment,Entire home/apt,1.0,2.0,3.0,110,1,0,0,0,flexible,0,1,1,0,0,0,1,1,0
4404,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,0,0,moderate,1,1,1,0,0,0,0,1,0
4405,Westerpark,2,Apartment,Private room,1.0,1.0,1.0,95,1,0,0,0,strict,0,1,0,0,0,0,0,0,0
4407,Bos en Lommer,3,Apartment,Entire home/apt,1.0,2.0,2.0,159,2,40,1,13,strict,1,1,1,0,1,1,1,1,1
4408,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,65,1,5,0,0,flexible,0,1,1,0,0,0,1,0,1
4409,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,90,1,0,0,0,flexible,0,1,0,0,0,0,1,0,0
4410,Zuid,4,Townhouse,Entire home/apt,1.0,2.0,3.0,190,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4411,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,1,0,0,0,moderate,1,1,1,0,0,0,1,1,0
4412,Buitenveldert - Zuidas,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,0,0,moderate,0,1,0,0,0,0,0,1,0
4413,Watergraafsmeer,2,House,Private room,1.0,1.0,1.0,55,2,15,0,0,moderate,0,1,0,0,0,0,0,0,1
4415,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,2.0,1.0,1.0,100,2,15,0,4,moderate,0,1,0,0,0,0,0,0,0
4416,Oud-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,97,2,0,1,13,strict,0,1,0,0,0,0,0,1,0
4417,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,54,1,0,0,0,flexible,0,1,0,0,0,0,0,1,0
4418,Centrum-Oost,2,Guest suite,Entire home/apt,1.0,1.0,2.0,190,2,25,0,84,strict,1,1,1,0,0,1,1,1,1
4419,Oud-Oost,5,Apartment,Private room,2.0,1.0,3.0,120,4,25,0,9,strict,1,1,1,0,0,0,1,1,1
4421,Centrum-Oost,2,Guest suite,Entire home/apt,1.0,1.0,2.0,180,2,25,0,84,strict,1,1,1,0,0,1,1,1,1
4422,Bos en Lommer,2,Apartment,Entire home/apt,1.0,0.0,1.0,75,1,0,0,138,strict,1,1,1,0,0,0,1,1,0
4423,De Pijp - Rivierenbuurt,2,Townhouse,Private room,1.0,1.0,1.0,59,1,0,1,58,moderate,1,0,1,0,0,0,1,0,0
4425,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,95,1,0,0,0,moderate,1,1,0,0,0,0,1,1,1
4426,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,165,2,65,1,363,strict,1,1,1,0,0,0,1,1,1
4427,De Pijp - Rivierenbuurt,2,Apartment,Private room,1.0,1.0,1.0,78,1,0,0,0,flexible,1,1,1,1,0,0,1,0,0
4428,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,105,2,0,0,0,moderate,1,1,1,0,0,0,1,1,1
4431,Westerpark,4,Apartment,Entire home/apt,1.0,2.0,2.0,120,2,0,1,0,moderate,1,1,1,0,0,0,1,1,1
4432,Westerpark,4,Condominium,Entire home/apt,2.0,2.0,2.0,160,4,0,1,0,moderate,1,1,1,0,0,0,1,1,1
4434,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,82,1,0,1,0,flexible,0,1,0,0,0,0,0,1,0
4435,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,120,1,0,1,25,strict,0,1,0,0,0,0,1,1,0
4436,Buitenveldert - Zuidas,2,Apartment,Private room,1.0,1.0,1.0,85,1,0,0,88,moderate,1,1,1,0,0,0,1,1,0
4437,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,70,2,25,1,0,moderate,0,1,0,0,0,0,0,1,0
4438,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,150,1,0,0,0,moderate,0,1,0,0,0,0,0,1,0
4440,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,130,1,0,1,78,strict,1,1,0,1,0,0,1,1,0
4442,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,2.0,129,1,0,0,0,flexible,0,1,1,0,0,0,1,1,1
4443,Oud-Noord,4,House,Entire home/apt,1.0,2.0,4.0,125,1,0,1,0,moderate,1,1,1,1,0,1,1,1,1
4444,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,85,1,0,1,0,strict,0,1,0,0,0,0,1,1,0
4445,Noord-West,2,Apartment,Private room,1.0,1.0,1.0,69,1,0,0,24,flexible,1,0,1,0,0,0,1,0,0
4446,Oud-Noord,2,Apartment,Entire home/apt,1.0,1.0,1.0,139,1,0,1,0,moderate,0,1,0,0,0,0,0,0,0
4447,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,198,1,0,0,0,moderate,0,1,0,0,0,0,0,1,0
4448,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,175,2,10,1,0,strict,1,1,1,0,0,0,0,1,0
4450,Westerpark,2,Apartment,Entire home/apt,1.0,0.0,2.0,95,2,50,0,0,strict,1,1,1,0,0,0,1,1,0
4451,Oostelijk Havengebied - Indische Buurt,4,Apartment,Entire home/apt,2.0,2.0,2.0,99,2,35,1,0,strict,0,1,1,0,0,0,0,1,1
4453,De Pijp - Rivierenbuurt,2,Apartment,Private room,1.0,1.0,1.0,50,1,20,0,0,flexible,0,1,0,0,0,0,0,1,0
4454,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,2.0,1.0,1.0,155,1,0,1,127,flexible,1,1,1,1,1,0,1,1,1
4455,Centrum-Oost,3,Apartment,Entire home/apt,1.0,2.0,2.0,140,2,20,1,344,strict,1,1,1,0,0,0,1,1,1
4456,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,0.0,1.0,95,2,30,1,4,moderate,0,1,0,0,0,0,0,1,0
4458,Bos en Lommer,2,Apartment,Entire home/apt,1.0,0.0,2.0,65,2,40,1,19,strict,0,1,0,0,0,0,0,1,1
4459,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,129,2,20,1,0,strict,1,1,1,0,0,0,1,1,0
4460,De Pijp - Rivierenbuurt,2,House,Entire home/apt,1.0,1.0,1.0,189,1,0,0,0,moderate,0,1,0,0,0,0,0,1,1
4461,IJburg - Zeeburgereiland,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,1,0,0,0,flexible,0,1,0,0,0,0,0,0,0
4462,IJburg - Zeeburgereiland,2,Condominium,Private room,2.0,1.0,1.0,50,2,0,0,209,strict,1,1,0,0,0,0,0,0,0
4465,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,90,2,0,0,0,moderate,1,1,1,0,0,0,0,1,0
4467,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,155,1,0,1,338,strict,0,1,1,0,0,0,1,1,1
4468,Centrum-Oost,2,Apartment,Entire home/apt,1.0,1.0,1.0,155,1,0,1,323,strict,0,1,1,0,0,0,1,1,1
4469,De Baarsjes - Oud-West,2,Townhouse,Private room,1.0,1.0,1.0,60,1,0,0,0,moderate,0,1,0,0,0,0,0,0,0
4471,Centrum-Oost,4,Apartment,Entire home/apt,2.0,2.0,4.0,199,2,10,0,27,strict,1,1,1,0,1,1,1,1,1
4472,De Baarsjes - Oud-West,4,Condominium,Entire home/apt,1.0,2.0,4.0,100,1,0,0,0,flexible,1,1,0,0,0,0,1,1,1
4473,Slotervaart,4,Apartment,Entire home/apt,2.0,2.0,2.0,162,3,25,1,10,strict,1,1,1,0,1,1,1,0,1
4474,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,155,2,0,1,14,moderate,1,1,0,0,0,0,1,1,1
4475,Slotervaart,2,Apartment,Private room,1.0,1.0,1.0,80,1,0,0,0,strict,0,1,0,0,0,0,0,1,0
4477,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,109,1,0,0,0,moderate,0,1,1,0,0,0,0,1,1
4478,Oud-Oost,3,Apartment,Entire home/apt,1.0,1.0,2.0,160,2,40,0,14,moderate,1,1,1,0,0,0,1,1,1
4479,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,127,1,0,1,333,flexible,1,1,1,0,0,0,1,1,1
4480,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,2.0,195,3,45,1,61,flexible,0,1,0,0,0,0,0,1,0
4481,Westerpark,4,Apartment,Entire home/apt,2.0,1.0,2.0,89,2,25,1,0,strict,0,1,0,0,0,0,0,1,0
4482,De Baarsjes - Oud-West,2,Guest suite,Private room,1.0,1.0,1.0,82,2,0,1,230,strict,1,1,0,0,0,0,0,0,0
4484,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,0.0,1.0,100,1,0,0,0,flexible,0,0,0,0,0,0,0,0,0
4485,De Baarsjes - Oud-West,1,Apartment,Private room,1.0,1.0,1.0,85,1,0,1,365,moderate,0,1,0,0,1,0,0,1,0
4486,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,85,1,75,1,269,moderate,1,1,1,0,1,0,1,1,0
4487,Oostelijk Havengebied - Indische Buurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,125,1,0,0,336,moderate,1,1,0,0,0,0,1,1,0
4489,Westerpark,3,Apartment,Entire home/apt,2.0,1.0,2.0,110,1,50,1,56,moderate,1,1,1,0,0,0,1,1,0
4490,IJburg - Zeeburgereiland,2,Apartment,Private room,1.0,1.0,1.0,60,1,0,0,40,moderate,1,1,0,0,0,0,1,1,0
4491,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,150,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4492,Westerpark,3,Apartment,Entire home/apt,1.0,2.0,2.0,90,2,35,0,87,flexible,0,1,1,0,0,1,0,0,1
4493,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,80,1,0,1,0,strict,1,1,1,0,0,0,1,1,1
4495,IJburg - Zeeburgereiland,2,Condominium,Private room,2.0,1.0,1.0,50,2,0,0,219,strict,1,1,1,0,0,0,0,0,0
4496,Westerpark,3,Apartment,Entire home/apt,1.0,2.0,2.0,160,1,0,1,9,moderate,1,1,0,0,0,0,0,1,1
4497,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,144,3,25,0,0,strict,0,1,0,0,0,0,0,1,1
4498,Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,1,0,moderate,1,1,1,0,0,0,1,1,1
4499,Oostelijk Havengebied - Indische Buurt,4,Townhouse,Entire home/apt,1.0,4.0,6.0,110,1,0,0,2,strict,1,1,0,0,0,1,1,0,1
4500,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,1.0,107,2,40,1,70,moderate,0,1,0,0,0,0,0,0,1
4502,De Pijp - Rivierenbuurt,2,Apartment,Entire home/apt,1.0,1.0,1.0,110,1,0,0,0,moderate,0,1,1,0,0,0,0,1,0
4503,Oud-Oost,3,Apartment,Entire home/apt,1.0,1.0,2.0,110,2,20,1,0,strict,1,1,1,0,0,0,1,1,1
4504,De Pijp - Rivierenbuurt,4,Apartment,Entire home/apt,1.0,2.0,3.0,145,1,0,1,0,moderate,1,1,1,0,1,1,1,1,1
4505,Bos en Lommer,2,Apartment,Entire home/apt,1.0,1.0,1.0,85,1,0,0,181,strict,1,1,1,0,0,0,1,1,0
4506,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,2.0,190,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4507,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,80,1,0,0,0,flexible,0,1,0,0,0,0,0,1,1
4508,Westerpark,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,1,0,0,0,flexible,0,1,0,0,0,0,0,1,0
4509,Bos en Lommer,2,Apartment,Entire home/apt,1.0,0.0,1.0,95,1,0,1,2,strict,1,1,1,0,0,0,0,1,1
4510,Watergraafsmeer,2,Apartment,Private room,2.0,1.0,1.0,50,1,0,0,0,moderate,0,1,0,0,0,0,0,0,0
4511,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,75,1,0,1,360,moderate,0,1,0,0,0,0,1,0,1
4513,Zuid,4,Apartment,Entire home/apt,1.0,3.0,3.0,107,1,30,0,295,flexible,0,1,1,0,0,0,0,1,1
4514,Watergraafsmeer,2,Apartment,Private room,2.0,1.0,1.0,58,1,0,0,0,moderate,0,1,0,0,0,0,0,0,1
4515,Bos en Lommer,4,Apartment,Entire home/apt,1.0,3.0,4.0,150,1,0,1,0,moderate,1,1,1,0,1,1,1,1,1
4516,Centrum-Oost,2,Apartment,Private room,1.0,1.0,1.0,70,1,0,0,0,flexible,0,1,0,1,0,0,0,1,0
4517,Zuid,4,Apartment,Entire home/apt,2.0,2.0,4.0,135,3,35,1,0,moderate,1,1,1,0,1,0,1,1,1
