name,neighbourhood_cleansed,accommodates,property_type,room_type,bathrooms,bedrooms,beds,price,latitude,longitude
Garden Suite Studiohttps://www.airbnb.com/manage-l,Oud-Oost,3,Apartment,Private room,1.0,1.0,1.0,105,52.364824885646925,4.9276155489234315
Cottage Room- Completely Private,Oud-Oost,2,Apartment,Private room,1.0,1.0,1.0,70,52.365509785021295,4.928480703679059
"studio INN, bright and spacious",Westerpark,4,Bed and breakfast,Private room,1.0,2.0,2.0,135,52.38897577588911,4.890432078271875
Amazing location - canalhouse room,Centrum-West,4,House,Private room,1.0,1.0,4.0,180,52.3797564854931,4.893977373685979
TOP LOCATED Canalhouse B&B Jordaan,Centrum-West,1,Other,Private room,1.0,1.0,1.0,115,52.37875854166035,4.8926359365709455
The Backroom - Central private appt,Centrum-West,4,Other,Entire home/apt,1.0,1.0,2.0,95,52.370259733420504,4.8800301947340445
Bright apt in central Amsterdam,Centrum-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,249,52.37307393018357,4.893431575249236
Single attic room for one person only,Centrum-West,1,Apartment,Private room,1.0,1.0,1.0,45,52.367227634831025,4.891235317846856
Bed&Bike SleepOnNature - free bikes,De Baarsjes - Oud-West,2,Bed and breakfast,Private room,1.0,1.0,1.0,100,52.364877997706216,4.851095907658352
"Houseboat ""Ramona"" Amsterdam centre",De Pijp - Rivierenbuurt,4,Boat,Entire home/apt,1.0,2.0,2.0,189,52.357253879494685,4.895879145277792
De Baronie B&B in historic centre,Centrum-Oost,2,Bed and breakfast,Private room,1.0,1.0,2.0,75,52.372700232233804,4.907761448144871
Beautiful and spacious room,Slotervaart,2,Bed and breakfast,Private room,1.0,1.0,2.0,40,52.349103458307475,4.836112244063563
"Sunny, spacious apartment near Vondelpark",Zuid,2,Apartment,Entire home/apt,1.0,1.0,1.0,115,52.35637466896349,4.865793029491886
"A'dam Centre, Bright and Comfy",Centrum-Oost,3,Apartment,Entire home/apt,1.0,1.0,3.0,150,52.370074473314865,4.919603853810988
museums and music,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.363971570386646,4.876509426612257
Amsterdam at its best,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.36082925431396,4.856667424731347
Jardin Dreams | Warm | 2 Bedrooms|Renovated|,De Pijp - Rivierenbuurt,4,Bed and breakfast,Private room,1.0,1.0,2.0,165,52.352437256002645,4.895948040507284
"all private, art @ home in city center-1",Centrum-West,2,Guest suite,Private room,1.0,1.0,1.0,94,52.365705366407134,4.884636190342678
Lovely self contained studio in Oud West,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,87,52.368883436047646,4.8695483308640055
Retro Luxury Apartment,Bos en Lommer,4,Apartment,Entire home/apt,1.0,1.0,3.0,99,52.38193171534977,4.855407320845144
Bohemian apartment in nice area,Oud-Oost,2,Other,Entire home/apt,1.0,1.0,1.0,100,52.360974573916025,4.927611460157401
Large private room for rent Center / De Pijp,De Pijp - Rivierenbuurt,2,Apartment,Private room,1.0,1.0,1.0,80,52.35516967099702,4.8896934048978045
Entire house with garden in De Pijp,De Pijp - Rivierenbuurt,6,Townhouse,Private room,3.0,3.0,3.0,259,52.353609063743974,4.90562103218313
light modern & cosy apartment,Oostelijk Havengebied - Indische Buurt,3,Apartment,Entire home/apt,1.0,2.0,2.0,98,52.36460689704278,4.938920082534415
Private Room in shared Yoga -Appartment,Gaasperdam - Driemond,4,Apartment,Private room,1.0,1.0,2.0,35,52.30617481870509,4.978865897717476
Bright room in lively Kinkerbuurt,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,52,52.36859520946438,4.864870318764639
Lovely apartment near Vondelpark,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,1.0,2.0,100,52.36673740948232,4.867455513006409
100% independent studio with balcony and WiFi,Bos en Lommer,2,Apartment,Private room,1.0,1.0,1.0,89,52.37961371756432,4.854432292549278
Modern 1bedroom app. near city cent,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,145,52.363675893649386,4.855056296869676
Amsterdam at your feet,De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,3.0,74,52.3733601256194,4.857537320392232
"SUPERLOCATED Room in  CANALHOUSE, Private bath",Centrum-West,2,Other,Private room,1.0,1.0,1.0,120,52.37915713158128,4.894086123937185
"Roofterrace 360', Zen, Canal-View,  Light,  Luxury",Centrum-West,2,Condominium,Entire home/apt,1.0,1.0,1.0,220,52.381717144651354,4.883104127485947
canal view in Jordaan & 9 Streets,Centrum-West,2,Apartment,Entire home/apt,2.0,1.0,1.0,145,52.36991235190708,4.882654520401399
Spacious apartment next to center,De Baarsjes - Oud-West,3,Apartment,Entire home/apt,1.0,2.0,3.0,120,52.36916386503589,4.86643475054097
"Pleasant,cosy & crazy apartment with small balcony",De Baarsjes - Oud-West,6,Apartment,Entire home/apt,1.0,3.0,3.0,89,52.36338791622051,4.8540234832459435
"Large, sunny, perfect location plus awesome cat!",De Baarsjes - Oud-West,4,Apartment,Entire home/apt,1.0,2.0,2.0,100,52.35963504731266,4.867128100371151
Authentic Amsterdam apartment RAI,De Pijp - Rivierenbuurt,3,Apartment,Entire home/apt,1.0,2.0,3.0,230,52.342312579431045,4.894194976598042
Romantic apartment in the heart of the city,Centrum-Oost,4,Apartment,Entire home/apt,1.0,2.0,4.0,230,52.36321324239451,4.889051424334264
Clean & Cozy room + Free Bikes,De Baarsjes - Oud-West,2,Apartment,Private room,1.0,1.0,1.0,50,52.36823908012429,4.853210748039301
Metropolitan B&B centre Amsterdam,Centrum-West,4,Bed and breakfast,Private room,1.0,1.0,4.0,160,52.37433431603307,4.89246876049259
Cozy bright place with Garden !,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,2.0,110,52.38487211819231,4.872481357594563
Lovely light appartment with garden,Zuid,3,Apartment,Entire home/apt,1.0,2.0,2.0,150,52.35221380860934,4.846612397531583
17thC. studio center Amsterdam,Centrum-Oost,2,Loft,Private room,1.0,1.0,1.0,95,52.360871179686576,4.8955906497433865
The best spot to discover Amsterdam,Centrum-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,100,52.38393030999055,4.89237125764235
ART & DESIGN APARTMENT,Westerpark,3,Apartment,Entire home/apt,1.0,1.0,2.0,99,52.38351266036433,4.875730763066735
Studio next 2 V´park near Leidsepl.,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,2.0,79,52.35930674965399,4.8611084302365315
TOP-LOCATION with PRIVATE ROOF-TERRACE,Centrum-West,3,Apartment,Entire home/apt,1.0,1.0,2.0,80,52.37184057754968,4.881707856110731
Best Area - Large Luxury 3 Bdr Home,Zuid,4,Apartment,Entire home/apt,2.0,3.0,4.0,284,52.34743916227274,4.868860660076601
Well located apartment for you!,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,52.37086528996354,4.8659566161588055
Central yet quiet studio apartment,De Baarsjes - Oud-West,2,Apartment,Entire home/apt,1.0,1.0,1.0,99,52.36889187403649,4.864288391158311
